GeneId	BiologicalProcess	CellularComponent	MolecularFunction
Ss05g00080.1	-	-	GO:0046872(metal ion binding)
Ss06g04910.1	GO:0016192(vesicle-mediated transport)	GO:0016021(integral component of membrane)	-
Ss02g17550.1	GO:0006465(signal peptide processing)	GO:0005787(signal peptidase complex),GO:0016021(integral component of membrane)	GO:0008233(peptidase activity)
Ss06g04960.1	GO:0048268(clathrin coat assembly)	GO:0030136(clathrin-coated vesicle)	GO:0005545(1-phosphatidylinositol binding),GO:0030276(clathrin binding),GO:0005543(phospholipid binding)
Ss06g04980.1	GO:0006511(ubiquitin-dependent protein catabolic process),GO:0051603(proteolysis involved in cellular protein catabolic process)	GO:0019773(proteasome core complex, alpha-subunit complex),GO:0005839(proteasome core complex)	GO:0004175(endopeptidase activity),GO:0004298(threonine-type endopeptidase activity)
Ss06g04990.1	GO:0006486(protein glycosylation)	-	GO:0016757(transferase activity, transferring glycosyl groups)
Ss05g00040.1	GO:0006355(regulation of transcription, DNA-templated),GO:0006334(nucleosome assembly)	GO:0000785(chromatin),GO:0005634(nucleus),GO:0000786(nucleosome)	GO:0003677(DNA binding)
Ss05g00050.1	GO:0055085(transmembrane transport)	GO:0016020(membrane)	GO:0022857(transmembrane transporter activity)
Ss07g25580.1	GO:0016192(vesicle-mediated transport),GO:0006886(intracellular protein transport)	GO:0016020(membrane)	GO:0005484(SNAP receptor activity)
Ss02g19490.1	-	-	GO:0003677(DNA binding),GO:0008270(zinc ion binding)
Ss01g20770.1	GO:0071985(multivesicular body sorting pathway)	GO:0000814(ESCRT II complex)	-
Ss07g14460.1	GO:0032259(methylation),GO:0006479(protein methylation)	-	GO:0003676(nucleic acid binding),GO:0008168(methyltransferase activity),GO:0008276(protein methyltransferase activity)
Ss02g01760.1	GO:0055085(transmembrane transport)	GO:0016020(membrane)	GO:0015267(channel activity)
Ss07g31100.1	GO:0006468(protein phosphorylation)	-	GO:0005515(protein binding),GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss03g07930.1	-	-	GO:0005515(protein binding)
Ss02g19500.1	GO:0030001(metal ion transport)	-	GO:0046872(metal ion binding)
Ss02g20190.1	-	-	GO:0016787(hydrolase activity)
Ss01g05510.1	-	-	GO:0005515(protein binding)
Ss02g09960.1	-	-	GO:0003676(nucleic acid binding),GO:0005524(ATP binding)
Ss02g20110.1	GO:0005975(carbohydrate metabolic process),GO:0005978(glycogen biosynthetic process)	-	GO:0003824(catalytic activity),GO:0043169(cation binding),GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds),GO:0003844(1,4-alpha-glucan branching enzyme activity)
Ss02g20130.1	-	-	GO:0003824(catalytic activity),GO:0033926(glycopeptide alpha-N-acetylgalactosaminidase activity)
Ss02g20120.1	GO:0016575(histone deacetylation)	-	GO:0004407(histone deacetylase activity)
Ss02g20150.1	GO:0006414(translational elongation)	GO:0005622(intracellular),GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
Ss07g22260.1	GO:0005975(carbohydrate metabolic process)	-	GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds),GO:0003824(catalytic activity)
Ss02g20160.1	-	-	GO:0005515(protein binding)
Ss05g05890.1	GO:0006355(regulation of transcription, DNA-templated)	-	-
Ss03g08890.1	-	-	GO:0005509(calcium ion binding)
Ss01g17030.1	GO:0006468(protein phosphorylation)	-	GO:0005515(protein binding),GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss01g05520.1	-	-	GO:0005525(GTP binding)
Ss05g11210.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003677(DNA binding)
Ss05g11200.1	GO:0007264(small GTPase mediated signal transduction),GO:0015031(protein transport)	-	GO:0005092(GDP-dissociation inhibitor activity),GO:0005093(Rab GDP-dissociation inhibitor activity)
Ss05g14640.1	-	-	GO:0035091(phosphatidylinositol binding)
Ss05g14630.1	GO:0032264(IMP salvage),GO:0009168(purine ribonucleoside monophosphate biosynthetic process)	-	GO:0019239(deaminase activity),GO:0003876(AMP deaminase activity)
Ss05g14620.1	-	GO:0005680(anaphase-promoting complex)	-
Ss05g11160.1	GO:0006508(proteolysis)	-	GO:0005515(protein binding),GO:0004252(serine-type endopeptidase activity)
Ss07g33830.1	GO:0042545(cell wall modification)	-	GO:0030599(pectinesterase activity),GO:0004857(enzyme inhibitor activity)
Ss07g07450.1	GO:0055114(oxidation-reduction process)	-	GO:0016491(oxidoreductase activity)
Ss05g14580.1	-	-	GO:0046983(protein dimerization activity),GO:0008171(O-methyltransferase activity),GO:0008168(methyltransferase activity)
Ss07g25630.1	GO:0006281(DNA repair)	GO:0005634(nucleus)	GO:0005515(protein binding),GO:0008081(phosphoric diester hydrolase activity)
Ss07g05760.1	GO:0006812(cation transport)	GO:0016021(integral component of membrane)	GO:0000166(nucleotide binding),GO:0019829(cation-transporting ATPase activity)
Ss05g14550.1	-	-	GO:0005515(protein binding)
Ss03g20460.1	GO:0005992(trehalose biosynthetic process)	-	GO:0003824(catalytic activity)
Ss07g22190.1	GO:0055085(transmembrane transport)	GO:0016020(membrane)	GO:0015267(channel activity)
Ss02g16110.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss03g35870.1	-	-	GO:0016787(hydrolase activity)
Ss03g35860.1	-	-	GO:0003676(nucleic acid binding),GO:0005524(ATP binding)
Ss03g35850.1	-	-	GO:0016758(transferase activity, transferring hexosyl groups)
Ss03g20470.1	GO:0006508(proteolysis)	-	GO:0004185(serine-type carboxypeptidase activity)
Ss03g35910.1	-	-	GO:0003824(catalytic activity)
Ss10g00450.1	-	-	GO:0043531(ADP binding)
Ss03g35890.1	-	-	GO:0016787(hydrolase activity)
Ss07g07420.1	-	-	GO:0005509(calcium ion binding)
Ss03g35930.1	GO:0045454(cell redox homeostasis)	-	-
Ss03g35920.1	GO:0055114(oxidation-reduction process)	-	GO:0016491(oxidoreductase activity),GO:0051537(2 iron, 2 sulfur cluster binding),GO:0010277(chlorophyllide a oxygenase [overall] activity)
Ss01g02100.1	-	-	GO:0003676(nucleic acid binding)
Ss02g00980.1	-	-	GO:0046983(protein dimerization activity)
Ss01g02120.1	-	-	GO:0003723(RNA binding)
Ss01g02130.1	GO:0006355(regulation of transcription, DNA-templated),GO:0006952(defense response)	-	GO:0003677(DNA binding),GO:0003697(single-stranded DNA binding)
Ss01g02070.1	-	-	GO:0003723(RNA binding)
Ss01g02090.1	-	-	GO:0016788(hydrolase activity, acting on ester bonds)
Ss03g38580.1	-	-	GO:0005515(protein binding)
Ss03g20510.1	GO:0000398(mRNA splicing, via spliceosome)	GO:0005681(spliceosomal complex)	-
Ss04g12680.1	-	-	GO:0005515(protein binding)
Ss07g20920.1	GO:0006857(oligopeptide transport),GO:0055085(transmembrane transport)	GO:0016020(membrane)	GO:0005215(transporter activity),GO:0022857(transmembrane transporter activity)
Ss03g25430.1	GO:0030001(metal ion transport)	GO:0016020(membrane)	GO:0046873(metal ion transmembrane transporter activity)
Ss02g25600.1	GO:0006811(ion transport),GO:0055085(transmembrane transport)	GO:0016020(membrane)	GO:0005216(ion channel activity)
Ss06g21680.1	GO:0005975(carbohydrate metabolic process)	-	GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds)
Ss06g21670.1	GO:0006412(translation)	GO:0005622(intracellular),GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
Ss06g21700.1	GO:0048544(recognition of pollen),GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding),GO:0004674(protein serine/threonine kinase activity)
Ss06g21690.1	-	-	GO:0005509(calcium ion binding)
Ss04g13750.1	GO:0006788(heme oxidation),GO:0055114(oxidation-reduction process)	-	GO:0004392(heme oxygenase (decyclizing) activity)
Ss03g29850.1	-	-	GO:0003676(nucleic acid binding),GO:0005524(ATP binding)
Ss04g13740.1	GO:0055114(oxidation-reduction process)	-	GO:0016491(oxidoreductase activity)
Ss06g21750.1	GO:0055114(oxidation-reduction process)	-	GO:0005509(calcium ion binding),GO:0016491(oxidoreductase activity)
Ss06g21740.1	-	-	GO:0005515(protein binding)
Ss04g12660.1	GO:0016567(protein ubiquitination)	-	GO:0005515(protein binding),GO:0004842(ubiquitin-protein transferase activity)
Ss04g13700.1	-	-	GO:0005515(protein binding)
Ss05g16640.1	GO:0015991(ATP hydrolysis coupled proton transport)	GO:0033178(proton-transporting two-sector ATPase complex, catalytic domain)	GO:0046961(proton-transporting ATPase activity, rotational mechanism),GO:0005515(protein binding)
Ss05g16630.1	GO:0009767(photosynthetic electron transport chain),GO:0015979(photosynthesis),GO:0019684(photosynthesis, light reaction)	GO:0009523(photosystem II),GO:0009539(photosystem II reaction center),GO:0016021(integral component of membrane)	GO:0020037(heme binding),GO:0046872(metal ion binding)
Ss05g16660.1	-	-	GO:0005515(protein binding)
Ss05g16650.1	GO:0009966(regulation of signal transduction),GO:0043666(regulation of phosphoprotein phosphatase activity)	-	GO:0004864(protein phosphatase inhibitor activity)
Ss05g16670.1	GO:0008299(isoprenoid biosynthetic process)	-	-
Ss05g16700.1	GO:0055114(oxidation-reduction process)	-	GO:0051536(iron-sulfur cluster binding)
Ss05g16720.1	GO:0007017(microtubule-based process)	GO:0030286(dynein complex),GO:0005875(microtubule associated complex)	-
Ss05g16710.1	GO:0016192(vesicle-mediated transport)	GO:0016020(membrane)	-
Ss03g29820.1	GO:0006629(lipid metabolic process)	-	GO:0016627(oxidoreductase activity, acting on the CH-CH group of donors)
Ss09g10250.1	-	-	GO:0070403(NAD+ binding)
Ss03g34250.1	GO:0006629(lipid metabolic process)	-	-
Ss03g34240.1	GO:0055114(oxidation-reduction process)	-	GO:0016491(oxidoreductase activity)
Ss03g34270.1	GO:0000105(histidine biosynthetic process),GO:0055114(oxidation-reduction process)	-	GO:0004399(histidinol dehydrogenase activity),GO:0008270(zinc ion binding),GO:0051287(NAD binding),GO:0016491(oxidoreductase activity)
