Gene_ID	NR_ID	Identity	Align Length	Q start	Q end	T start	T end	E value	Score	Function
Ss07g09960.1	CBX25282.1	68.8	477	1	470	1	474	3.70E-178	629.8	CBX25282.1 hypothetical_protein [Oryza brachyantha]
Ss03g35870.1	NP_001148686.1	94.6	222	1	222	1	222	6.70E-125	451.8	NP_001148686.1 uncharacterized protein LOC100282302 [Zea mays]
Ss03g35860.1	XP_004981371.1	82.8	583	1	581	1	572	7.50E-238	828.6	XP_004981371.1 DEAD-box ATP-dependent RNA helicase 37 [Setaria italica]
Ss03g35850.1	AZQ26929.1	62.5	304	1	299	184	482	4.60E-105	386.3	AZQ26929.1 UGT91F11, partial [Avena strigosa]
Ss03g35840.1	XP_020403737.1	54.3	247	1	233	220	466	4.70E-65	253.1	XP_020403737.1 zinc finger MYM-type protein 1-like [Zea mays]
Ss03g35910.1	XP_004981367.1	83	731	1	729	1	731	0.00E+00	1214.1	XP_004981367.1 probable acyl-activating enzyme 18, peroxisomal [Setaria italica]
Ss03g35900.1	XP_015631517.1	88	416	1	415	1	415	4.00E-208	729.2	XP_015631517.1 lipid phosphate phosphatase delta [Oryza sativa Japonica Group]
Ss03g35890.1	ACG38746.1	97.4	307	1	307	1	307	1.10E-183	647.5	ACG38746.1 PP2Ac-2 - Phosphatase 2A isoform 2 belonging to family 2 [Zea mays]
Ss03g35880.1	EMS59473.1	98.5	65	1	65	269	333	1.30E-33	146.7	EMS59473.1 Serine/threonine-protein phosphatase PP2A-2 catalytic subunit [Triticum urartu]
Ss03g35930.1	XP_006650758.2	77.7	269	37	304	40	308	3.90E-112	409.8	XP_006650758.2 PREDICTED: 5'-adenylylsulfate reductase-like 5 [Oryza brachyantha]
Ss03g35920.1	XP_015628465.1	71.1	498	40	526	53	538	8.30E-219	765	XP_015628465.1 protochlorophyllide-dependent translocon component 52, chloroplastic [Oryza sativa Japonica Group]
Ss03g34250.1	RLN19083.1	71.1	492	1	481	1	440	1.70E-170	604.4	RLN19083.1 patatin-like protein 3 [Panicum miliaceum]
Ss03g34240.1	XP_003559359.1	81.4	376	1	376	1	375	4.30E-177	625.9	XP_003559359.1 uncharacterized protein LOC100828433 isoform X2 [Brachypodium distachyon]
Ss03g34270.1	XP_004981520.1	89.6	481	93	570	1	480	4.60E-239	832.4	XP_004981520.1 histidinol dehydrogenase, chloroplastic isoform X1 [Setaria italica]
Ss03g34260.1	XP_025798005.1	72.8	232	4	234	3	234	3.10E-85	320.1	XP_025798005.1 protein arv1 homolog isoform X1 [Panicum hallii]
Ss03g34210.1	KQK12889.1	75.4	317	85	401	96	412	4.30E-131	473.8	KQK12889.1 hypothetical protein BRADI_1g06650v3 [Brachypodium distachyon]
Ss03g34200.1	XP_015694525.1	53.1	194	11	194	1	193	8.90E-49	198.7	XP_015694525.1 PREDICTED: uncharacterized protein LOC102705264, partial [Oryza brachyantha]
Ss03g34230.1	KXG37427.1	79.2	221	12	220	48	268	1.60E-86	324.3	KXG37427.1 hypothetical protein SORBI_3001G067900 [Sorghum bicolor]
Ss03g34220.1	XP_025796523.1	90.3	360	1	360	1	360	2.50E-190	669.8	XP_025796523.1 actin-related protein 7 [Panicum hallii]
