Gene	KeggOrtholog
Ss03g35870.1	K04382 PPP2C; serine/threonine-protein phosphatase 2A catalytic subunit [EC:3.1.3.16]
Ss03g35860.1	K11594 DDX3X, bel; ATP-dependent RNA helicase DDX3X [EC:3.6.4.13]
Ss03g35890.1	K04382 PPP2C; serine/threonine-protein phosphatase 2A catalytic subunit [EC:3.1.3.16]
Ss03g35880.1	K04382 PPP2C; serine/threonine-protein phosphatase 2A catalytic subunit [EC:3.1.3.16]
Ss03g34240.1	K06955 K06955; uncharacterized protein
Ss03g34270.1	K00013 hisD; histidinol dehydrogenase [EC:1.1.1.23]
Ss03g34230.1	K12394 AP1S1_2; AP-1 complex subunit sigma 1/2
Ss03g34220.1	K16615 PARP7; actin-related protein 7, plant
Ss07g10020.1	K09588 CYP90A1, CPD; cytochrome P450 family 90 subfamily A polypeptide 1 [EC:1.14.-.-]
Ss07g10010.1	K01649 leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]
Ss02g12980.1	K16281 RHA1; RING-H2 zinc finger protein RHA1
Ss02g12940.1	K22047 MSL1_2_3; mechanosensitive ion channel protein 1/2/3
Ss02g12930.1	K15746 crtZ; beta-carotene 3-hydroxylase [EC:1.14.15.24]
Ss02g12910.1	K02709 psbH; photosystem II PsbH protein
Ss02g25610.1	K00797 speE, SRM; spermidine synthase [EC:2.5.1.16]
Ss02g25600.1	K05391 CNGC; cyclic nucleotide gated channel, plant
Ss03g11470.1	K13946 AUX1, LAX; auxin influx carrier (AUX1 LAX family)
Ss03g11430.1	K00215 dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
Ss03g11510.1	K18826 CAMKMT; calmodulin-lysine N-methyltransferase [EC:2.1.1.60]
Ss03g11500.1	K18826 CAMKMT; calmodulin-lysine N-methyltransferase [EC:2.1.1.60]
Ss06g03320.1	K01728 pel; pectate lyase [EC:4.2.2.2]
Ss06g03270.1	K17471 SULTR3; sulfate transporter 3
Ss06g03260.1	K17302 COPB2, SEC27; coatomer subunit beta'
Ss06g03250.1	K10803 XRCC1; DNA-repair protein XRCC1
Ss06g03240.1	K12850 PRPF38B; pre-mRNA-splicing factor 38B
Ss03g17580.1	K00430 E1.11.1.7; peroxidase [EC:1.11.1.7]
Ss03g17570.1	K00430 E1.11.1.7; peroxidase [EC:1.11.1.7]
Ss03g17560.1	K00430 E1.11.1.7; peroxidase [EC:1.11.1.7]
Ss09g10100.1	K04077 groEL, HSPD1; chaperonin GroEL
Ss01g29430.1	K05575 ndhD; NAD(P)H-quinone oxidoreductase subunit 4 [EC:7.1.1.2]
