Gene_ID	SwissProt_ID	Identity	Align Length	Q start	Q end	T start	T end	E value	Score	Function
Ss03g35870.1	Q10BT5|PP2A2_ORYSJ	94.595	222	1	222	1	222	1.66E-158	444	Serine/threonine-protein phosphatase PP2A-2 catalytic subunit OS=Oryza sativa subsp. japonica OX=39947 GN=PP2A2 PE=2 SV=1
Ss03g35860.1	Q75HJ0|RH37_ORYSJ	83.661	661	1	648	1	637	0	991	DEAD-box ATP-dependent RNA helicase 37 OS=Oryza sativa subsp. japonica OX=39947 GN=PL10A PE=2 SV=1
Ss03g35850.1	Q66PF2|URT1_FRAAN	42.667	300	3	298	176	473	2.50E-77	246	Putative UDP-rhamnose:rhamnosyltransferase 1 OS=Fragaria ananassa OX=3747 GN=GT4 PE=2 SV=1
Ss03g35910.1	Q84P17|AEE18_ARATH	64.512	727	8	729	4	727	0	959	Probable acyl-activating enzyme 18, peroxisomal OS=Arabidopsis thaliana OX=3702 GN=AAE18 PE=2 SV=1
Ss03g35900.1	Q9M2G7|LPPD_ARATH	59.36	406	11	415	11	416	6.75E-180	510	Lipid phosphate phosphatase delta OS=Arabidopsis thaliana OX=3702 GN=LPPD PE=2 SV=1
Ss03g35890.1	Q10BT5|PP2A2_ORYSJ	97.394	307	1	307	1	307	0	632	Serine/threonine-protein phosphatase PP2A-2 catalytic subunit OS=Oryza sativa subsp. japonica OX=39947 GN=PP2A2 PE=2 SV=1
Ss03g35880.1	Q10BT5|PP2A2_ORYSJ	98.462	65	1	65	243	307	5.36E-42	140	Serine/threonine-protein phosphatase PP2A-2 catalytic subunit OS=Oryza sativa subsp. japonica OX=39947 GN=PP2A2 PE=2 SV=1
Ss03g35930.1	Q84M47|APRL5_ORYSJ	75.185	270	36	304	32	301	9.87E-140	399	5'-adenylylsulfate reductase-like 5 OS=Oryza sativa subsp. japonica OX=39947 GN=APRL5 PE=2 SV=1
Ss03g35920.1	Q8W496|PTC52_ARATH	54.93	497	52	524	67	557	0	561	Protochlorophyllide-dependent translocon component 52, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PTC52 PE=2 SV=1
Ss03g34250.1	Q8H5D4|PLP3_ORYSJ	64.059	409	13	418	10	394	7.96E-158	456	Patatin-like protein 3 OS=Oryza sativa subsp. japonica OX=39947 GN=PLP3 PE=3 SV=1
Ss03g34240.1	Q888A4|RNLS_PSESM	30.137	365	8	371	5	328	3.17E-37	140	Renalase OS=Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000) OX=223283 GN=PSPTO_1126 PE=1 SV=1
Ss03g34270.1	Q5NAY4|HISX_ORYSJ	94.761	439	133	570	35	473	0	859	Histidinol dehydrogenase, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=HDH PE=2 SV=1
Ss03g34260.1	Q5MK24|ARV1_ARATH	44.24	217	13	229	8	218	8.08E-58	186	Protein ARV 1 OS=Arabidopsis thaliana OX=3702 GN=ARV1 PE=2 SV=1
Ss03g34210.1	Q9FMU2|PP380_ARATH	44.57	442	111	551	154	594	4.60E-133	405	Pentatricopeptide repeat-containing protein At5g14080 OS=Arabidopsis thaliana OX=3702 GN=At5g14080 PE=2 SV=2
Ss03g34200.1	P42735|CDI8_ARATH	49.65	143	27	169	4	141	6.35E-42	142	Cadmium-induced protein AS8 OS=Arabidopsis thaliana OX=3702 GN=At4g19070 PE=2 SV=1
Ss03g34230.1	Q8LEZ8|AP1S1_ARATH	89.441	161	60	220	1	161	2.11E-106	306	AP-1 complex subunit sigma-1 OS=Arabidopsis thaliana OX=3702 GN=AAP19-1 PE=1 SV=1
Ss03g34220.1	A3ANB5|ARP7_ORYSJ	90	360	1	360	1	360	0	659	Actin-related protein 7 OS=Oryza sativa subsp. japonica OX=39947 GN=ARP7 PE=2 SV=2
Ss03g34290.1	Q5BQN5|WAP_SOLLC	29.191	346	141	479	165	492	3.00E-26	118	WPP domain-associated protein (Fragment) OS=Solanum lycopersicum OX=4081 GN=WAP PE=1 SV=1
Ss03g34280.1	Q803I2|ERGI3_DANRE	35.864	382	1	343	1	375	1.51E-71	230	Endoplasmic reticulum-Golgi intermediate compartment protein 3 OS=Danio rerio OX=7955 GN=ergic3 PE=2 SV=1
Ss01g30180.1	Q7XA39|RGA4_SOLBU	33.751	877	13	843	5	821	1.06E-128	426	Putative disease resistance protein RGA4 OS=Solanum bulbocastanum OX=147425 GN=RGA4 PE=2 SV=1
Ss02g12980.1	Q9SUS5|RHA1B_ARATH	30.539	167	1	165	1	146	1.69E-17	79	E3 ubiquitin-protein ligase RHA1B OS=Arabidopsis thaliana OX=3702 GN=RHA1B PE=2 SV=1
Ss02g12950.1	O81916|YC22_ARATH	53.429	350	52	396	160	479	2.62E-116	351	Uncharacterized calcium-binding protein At1g02270 OS=Arabidopsis thaliana OX=3702 GN=At1g02270 PE=2 SV=2
Ss02g12940.1	Q8VZL4|MSL1_ARATH	47.35	283	119	388	72	354	6.84E-86	273	Mechanosensitive ion channel protein 1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=MSL1 PE=2 SV=1
Ss02g12930.1	B3SGL0|BCH_GENLU	78.541	233	46	278	87	318	6.20E-137	392	Beta-carotene 3-hydroxylase, chloroplastic OS=Gentiana lutea OX=38851 GN=BHY PE=2 SV=1
Ss02g12920.1	Q8H0W3|RVE6_ARATH	58.511	282	16	281	51	326	2.43E-103	307	Protein REVEILLE 6 OS=Arabidopsis thaliana OX=3702 GN=RVE6 PE=2 SV=1
Ss02g12910.1	Q0G9J0|PSBH_LIRTU	73.611	72	14	85	4	73	3.84E-29	102	Photosystem II reaction center protein H OS=Liriodendron tulipifera OX=3415 GN=psbH PE=3 SV=1
Ss02g12900.1	Q7Y211|PP285_ARATH	33.427	715	14	679	95	796	4.68E-126	399	Pentatricopeptide repeat-containing protein At3g57430, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PCMP-H81 PE=2 SV=2
Ss05g05170.1	Q9LNG5|PPP7L_ARATH	38.462	481	78	546	27	502	1.09E-87	307	Serine/threonine-protein phosphatase 7 long form homolog OS=Arabidopsis thaliana OX=3702 GN=MAIL3 PE=2 SV=1
Ss02g25660.1	Q69T51|LYP6_ORYSJ	66.957	115	12	126	28	142	3.45E-44	157	LysM domain-containing GPI-anchored protein LYP6 OS=Oryza sativa subsp. japonica OX=39947 GN=LYP6 PE=1 SV=1
Ss02g25650.1	Q5Z6B6|NAC76_ORYSJ	64.528	265	1	248	1	261	1.60E-106	315	NAC domain-containing protein 76 OS=Oryza sativa subsp. japonica OX=39947 GN=NAC076 PE=2 SV=2
Ss02g25610.1	Q94BN2|SPSY_ARATH	72.222	360	1	358	1	359	0	518	Spermine synthase OS=Arabidopsis thaliana OX=3702 GN=SPMS PE=1 SV=1
Ss02g25600.1	O65717|CNGC1_ARATH	63.534	713	14	708	4	716	0	911	Cyclic nucleotide-gated ion channel 1 OS=Arabidopsis thaliana OX=3702 GN=CNGC1 PE=1 SV=1
Ss02g25690.1	Q1G3U8|VQ1_ARATH	46.875	64	12	67	10	73	1.60E-06	46.6	VQ motif-containing protein 1 OS=Arabidopsis thaliana OX=3702 GN=VQ1 PE=1 SV=1
Ss02g25680.1	Q1G3U8|VQ1_ARATH	46.875	64	12	67	10	73	1.60E-06	46.6	VQ motif-containing protein 1 OS=Arabidopsis thaliana OX=3702 GN=VQ1 PE=1 SV=1
Ss03g11490.1	A0A1P8B554|THLP1_ARATH	58.264	242	6	240	16	256	3.23E-94	283	Thaumatin-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=TLP1 PE=2 SV=1
Ss03g11480.1	Q9FF29|PR5K_ARATH	50	250	8	253	5	254	3.70E-90	285	PR5-like receptor kinase OS=Arabidopsis thaliana OX=3702 GN=PR5K PE=1 SV=1
Ss03g11470.1	Q9S836|LAX2_ARATH	85.161	465	1	465	1	461	0	838	Auxin transporter-like protein 2 OS=Arabidopsis thaliana OX=3702 GN=LAX2 PE=2 SV=1
Ss03g11440.1	Q9FYB5|DNJ11_ARATH	43.382	136	24	155	49	161	6.87E-26	99.4	Chaperone protein dnaJ 11, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ATJ11 PE=1 SV=2
Ss03g11430.1	Q10P67|DAPB2_ORYSJ	74.342	304	1	303	1	304	5.34E-167	469	Probable 4-hydroxy-tetrahydrodipicolinate reductase 2, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=DAPB2 PE=2 SV=1
Ss03g11420.1	Q9SKP9|PRP2_ARATH	29.47	302	2	272	10	285	6.97E-21	93.6	Proline-rich protein 2 OS=Arabidopsis thaliana OX=3702 GN=PRP2 PE=2 SV=1
Ss03g11510.1	F4JNX3|CMKMT_ARATH	48	175	51	225	7	164	6.21E-44	152	Calmodulin-lysine N-methyltransferase OS=Arabidopsis thaliana OX=3702 GN=CaMKMT PE=2 SV=1
Ss03g11500.1	F4JNX3|CMKMT_ARATH	57.759	116	1	116	186	300	1.75E-44	149	Calmodulin-lysine N-methyltransferase OS=Arabidopsis thaliana OX=3702 GN=CaMKMT PE=2 SV=1
Ss06g03320.1	P40973|PLY_LILLO	71.898	274	1	274	161	434	8.80E-136	393	Pectate lyase OS=Lilium longiflorum OX=4690 PE=2 SV=1
Ss06g03300.1	C5Z3W1|GUF1_SORBI	87.758	678	1	678	1	665	0	1212	Translation factor GUF1 homolog, mitochondrial OS=Sorghum bicolor OX=4558 GN=Sb10g003070 PE=3 SV=1
Ss06g03290.1	Q9M2U3|ALPL_ARATH	28.383	303	57	320	62	356	5.14E-20	94	Protein ALP1-like OS=Arabidopsis thaliana OX=3702 GN=At3g55350 PE=2 SV=1
Ss06g03280.1	Q9M9H7|SOL1_ARATH	55.439	478	8	482	15	491	0	566	Carboxypeptidase SOL1 OS=Arabidopsis thaliana OX=3702 GN=SOL1 PE=2 SV=1
Ss06g03270.1	Q9LW86|SUT34_ARATH	69.586	628	50	673	25	648	0	895	Probable sulfate transporter 3.4 OS=Arabidopsis thaliana OX=3702 GN=SULTR3;4 PE=2 SV=1
Ss06g03260.1	Q5VQ78|COB21_ORYSJ	90.576	902	1	891	1	902	0	1691	Coatomer subunit beta'-1 OS=Oryza sativa subsp. japonica OX=39947 GN=Os06g0143900 PE=2 SV=1
Ss06g03250.1	Q24JK4|XRCC1_ARATH	46.883	369	15	357	2	352	4.69E-105	315	DNA-repair protein XRCC1 OS=Arabidopsis thaliana OX=3702 GN=XRCC1 PE=1 SV=1
Ss06g03240.1	Q8RWB1|SRL1_ARATH	76.046	263	59	321	3	258	2.05E-141	414	Pre-mRNA splicing factor SR-like 1 OS=Arabidopsis thaliana OX=3702 GN=SRL1 PE=1 SV=1
Ss03g17550.1	Q653N3|MP703_ORYSJ	75.581	86	1	86	1	85	8.59E-33	123	Microtubule-associated protein 70-3 OS=Oryza sativa subsp. japonica OX=39947 GN=MAP70.3 PE=2 SV=1
Ss03g17540.1	F4ISY0|Y2837_ARATH	35.921	554	9	524	5	504	1.52E-69	235	WEB family protein At2g38370 OS=Arabidopsis thaliana OX=3702 GN=At2g38370 PE=2 SV=1
Ss03g17530.1	Q7X996|CIPK2_ORYSJ	85.48	427	1	427	10	430	0	756	CBL-interacting protein kinase 2 OS=Oryza sativa subsp. japonica OX=39947 GN=CIPK2 PE=2 SV=1
Ss03g17520.1	Q10LR9|DCUP2_ORYSJ	86.582	395	1	394	1	390	0	690	Uroporphyrinogen decarboxylase 2, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=Os03g0337600 PE=3 SV=1
Ss03g17590.1	Q9LPW3|SCRM2_ARATH	28.485	165	1	136	270	430	3.82E-08	54.7	Transcription factor SCREAM2 OS=Arabidopsis thaliana OX=3702 GN=SCRM2 PE=1 SV=1
Ss03g17580.1	Q0D3N0|PER2_ORYSJ	78.082	292	25	312	28	314	5.42E-162	456	Peroxidase 2 OS=Oryza sativa subsp. japonica OX=39947 GN=PRX112 PE=2 SV=1
Ss03g17570.1	P22195|PER1_ARAHY	56.393	305	14	317	16	316	3.02E-119	348	Cationic peroxidase 1 OS=Arachis hypogaea OX=3818 GN=PNC1 PE=1 SV=2
Ss03g17560.1	Q9FLC0|PER52_ARATH	60.201	299	25	320	29	324	1.89E-122	357	Peroxidase 52 OS=Arabidopsis thaliana OX=3702 GN=PER52 PE=2 SV=1
Ss03g17610.1	Q9SR86|AGT23_ARATH	76.538	439	19	457	43	481	0	729	Alanine--glyoxylate aminotransferase 2 homolog 3, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At3g08860 PE=2 SV=1
Ss03g17600.1	B0BN95|HARB1_RAT	25.279	269	61	318	39	305	4.52E-16	82	Putative nuclease HARBI1 OS=Rattus norvegicus OX=10116 GN=Harbi1 PE=2 SV=1
Ss09g10190.1	Q59536|PTRB_MORLA	28.287	753	42	744	4	690	7.87E-81	275	Protease 2 OS=Moraxella lacunata OX=477 GN=ptrB PE=3 SV=1
Ss09g10180.1	Q4V398|RRT1_ARATH	64.632	475	1	448	21	494	0	603	Rhamnogalacturonan I rhamnosyltransferase 1 OS=Arabidopsis thaliana OX=3702 GN=RRT1 PE=1 SV=1
Ss09g10130.1	Q9CA46|BZIP8_ARATH	46.667	105	53	152	34	135	4.86E-17	75.9	Basic leucine zipper 8 OS=Arabidopsis thaliana OX=3702 GN=BZIP8 PE=1 SV=1
Ss09g10110.1	Q9SGQ6|PP126_ARATH	41.637	855	1	848	1	772	0	629	Pentatricopeptide repeat-containing protein At1g76280 OS=Arabidopsis thaliana OX=3702 GN=At1g76280 PE=2 SV=2
Ss09g10100.1	Q9C667|CPNB4_ARATH	70.78	551	58	608	41	587	0	808	Chaperonin 60 subunit beta 4, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CPN60B4 PE=1 SV=1
Ss09g10170.1	Q9CAA4|BIM2_ARATH	48.739	238	207	441	47	271	1.22E-60	204	Transcription factor BIM2 OS=Arabidopsis thaliana OX=3702 GN=BIM2 PE=1 SV=1
Ss09g10160.1	Q9SI52|P4KG7_ARATH	58.333	684	1	668	1	650	0	728	Phosphatidylinositol 4-kinase gamma 7 OS=Arabidopsis thaliana OX=3702 GN=PI4KG7 PE=1 SV=2
Ss09g10150.1	Q9CAA9|BH049_ARATH	41.576	368	58	397	106	460	7.07E-69	228	Transcription factor bHLH49 OS=Arabidopsis thaliana OX=3702 GN=BHLH49 PE=1 SV=1
Ss09g10140.1	Q9FI80|PP425_ARATH	43.525	556	43	583	94	646	2.23E-161	478	Pentatricopeptide repeat-containing protein At5g48910 OS=Arabidopsis thaliana OX=3702 GN=PCMP-H38 PE=2 SV=1
Ss02g31030.1	O82275|TAX1_ARATH	67.5	40	19	58	36	75	1.87E-12	58.5	Signaling peptide TAXIMIN 1 OS=Arabidopsis thaliana OX=3702 GN=TAX1 PE=2 SV=2
Ss02g31020.1	Q9SGU2|SAU71_ARATH	50	108	1	108	1	98	4.70E-26	97.1	Auxin-responsive protein SAUR71 OS=Arabidopsis thaliana OX=3702 GN=SAUR71 PE=2 SV=1
Ss02g30990.1	Q22557|SPRTN_CAEEL	35	120	40	147	63	173	1.37E-08	58.9	SprT-like domain-containing protein Spartan OS=Caenorhabditis elegans OX=6239 GN=dvc-1 PE=1 SV=1
Ss02g31010.1	O48604|HPPD_HORVU	80.929	409	19	427	26	434	0	656	4-hydroxyphenylpyruvate dioxygenase OS=Hordeum vulgare OX=4513 PE=2 SV=1
Ss02g31000.1	Q700D9|MYBF_ARATH	70.769	65	8	72	14	78	2.95E-25	102	Putative Myb family transcription factor At1g14600 OS=Arabidopsis thaliana OX=3702 GN=At1g14600 PE=2 SV=2
Ss02g30960.1	C6L7U1|LIN1_LOTJA	29.981	527	442	963	659	1178	4.51E-58	221	Putative E3 ubiquitin-protein ligase LIN-1 OS=Lotus japonicus OX=34305 GN=CERBERUS PE=2 SV=2
