GeneID	KOG Gene ID	Identity	Align Length	Q start	Q end	T start	T end	E value	Score	KOG ID	Classification flag	Description
Ss03g35870.1	At3g58500	92.558	215	8	222	14	228	3.67E-152	426	KOG0371	T	Signal transduction mechanisms
Ss03g35860.1	At2g42520	72.817	607	1	606	1	577	0	830	KOG0335	A	RNA processing and modification
Ss03g35850.1	At5g49690	41.216	296	2	296	169	452	2.84E-74	236	KOG1192	CG	Energy production and conversion; Carbohydrate transport and metabolism
Ss03g35910.1	At1g55320	64.085	710	8	713	4	708	0	935	KOG1175	I	Lipid transport and metabolism
Ss03g35900.1	At3g58490	59.36	406	11	415	11	416	1.59E-180	510	KOG2822	I	Lipid transport and metabolism
Ss03g35890.1	At2g42500	95.333	300	8	307	14	313	0	610	KOG0371	T	Signal transduction mechanisms
Ss03g35880.1	At2g42500	93.846	65	1	65	249	313	3.11E-41	137	KOG0371	T	Signal transduction mechanisms
Ss03g35930.1	At3g03860	40.752	319	10	302	6	317	2.76E-69	219	KOG2640	S	Function unknown
Ss03g34250.1	At3g54950	50.113	443	7	423	51	467	2.23E-131	390	KOG0513	I	Lipid transport and metabolism
Ss03g34270.1	At5g63890	81.379	435	132	566	28	462	0	740	KOG2697	E	Amino acid transport and metabolism
Ss03g34260.1	At4g01510	45.852	229	3	231	22	243	2.34E-55	178	KOG3134	S	Function unknown
Ss03g34210.1	At5g14080	42.553	470	111	551	154	623	4.31E-129	395	KOG4197	R	General function prediction only
Ss03g34230.1	At4g35410	90	160	60	219	1	160	5.32E-107	306	KOG0934	U	Intracellular trafficking, secretion, and vesicular transport
Ss03g34220.1	At3g60830	64.767	386	1	360	1	368	1.03E-179	504	KOG0676	Z	Cytoskeleton
Ss03g34280.1	At3g22290	76.451	293	58	348	1	290	4.65E-165	463	KOG2667	U	Intracellular trafficking, secretion, and vesicular transport
Ss02g12980.1	At3g61460	45.714	175	1	170	1	161	3.43E-45	149	KOG0800	O	Posttranslational modification, protein turnover, chaperones
Ss02g12960.1	At5g41460	57.39	521	3	502	20	523	0	583	KOG2246	G	Carbohydrate transport and metabolism
Ss02g12950.1	At1g02270	53.429	350	52	396	160	479	6.18E-117	351	KOG2338	K	Transcription
Ss02g12920.1	At1g01520	59.055	254	21	263	45	287	1.92E-99	294	KOG0724	O	Posttranslational modification, protein turnover, chaperones
Ss02g12900.1	At3g57430	33.427	715	14	679	8	709	2.03E-127	398	KOG4197	R	General function prediction only
Ss02g25610.1	At5g53120	69.638	359	1	358	1	343	6.97E-174	489	KOG1562	E	Amino acid transport and metabolism
Ss02g25600.1	At5g53130	63.534	713	14	708	4	716	0	911	KOG0498	PT	Inorganic ion transport and metabolism; Signal transduction mechanisms
Ss03g11470.1	At2g21050	85.161	465	1	465	1	461	0	838	KOG1303	E	Amino acid transport and metabolism
Ss03g11440.1	At4g36040	43.382	136	24	155	49	161	1.62E-26	99.4	KOG0712	O	Posttranslational modification, protein turnover, chaperones
Ss03g11510.1	Hs13376109	46.341	82	147	227	109	186	2.54E-15	75.1	KOG3201	S	Function unknown
Ss03g11500.1	At4g35990	57.759	116	1	116	11	125	4.20E-47	149	KOG3201	S	Function unknown
Ss06g03300.1	At5g39900	77.937	630	46	675	47	661	0	1011	KOG0462	J	Translation, ribosomal structure and biogenesis
Ss06g03290.1	At5g41980	38.757	338	59	367	37	366	3.01E-66	215	KOG4585	L	Replication, recombination and repair
Ss06g03280.1	At1g71696	61.207	348	8	334	15	361	2.31E-157	452	KOG2649	R	General function prediction only
Ss06g03270.1	At3g15990	69.586	628	50	673	25	648	0	895	KOG0236	P	Inorganic ion transport and metabolism
Ss06g03260.1	At3g15980	79.501	922	2	900	5	921	0	1523	KOG0276	U	Intracellular trafficking, secretion, and vesicular transport
Ss06g03250.1	At1g80420	52.809	178	15	171	2	179	6.96E-57	186	KOG3226	L	Replication, recombination and repair
Ss06g03240.1	At5g37370	76.046	263	59	321	3	258	4.84E-142	414	KOG2888	R	General function prediction only
Ss03g17530.1	At5g58380	68.445	431	3	433	11	438	0	630	KOG0583	T	Signal transduction mechanisms
Ss03g17520.1	At2g40490	77.273	374	27	394	21	394	0	605	KOG2872	H	Coenzyme transport and metabolism
Ss03g17610.1	At3g08860	76.538	439	19	457	43	481	0	729	KOG1404	E	Amino acid transport and metabolism
Ss03g17600.1	At5g41980	39.045	356	38	382	23	373	6.00E-79	249	KOG4585	L	Replication, recombination and repair
Ss09g10190.1	At1g69020	48.501	767	37	735	36	793	0	732	KOG2237	O	Posttranslational modification, protein turnover, chaperones
Ss09g10110.1	At1g76280	41.97	853	25	848	19	811	0	640	KOG4197	R	General function prediction only
Ss09g10100.1	At1g26230	70.78	551	58	608	41	587	0	808	KOG0356	O	Posttranslational modification, protein turnover, chaperones
Ss09g10160.1	At2g03890	59.594	641	34	668	29	638	0	709	KOG2381	T	Signal transduction mechanisms
Ss09g10140.1	At5g48910	43.525	556	43	583	94	646	5.26E-162	478	KOG4197	R	General function prediction only
Ss01g29430.1	AtCh073	82	100	2	101	54	153	7.38E-52	171	KOG4845	C	Energy production and conversion
Ss02g30990.1	CE06460	35	120	40	147	63	173	3.23E-09	58.9	KOG3931	S	Function unknown
Ss02g31010.1	At1g06570	64.471	425	6	420	18	442	0	544	KOG0638	E	Amino acid transport and metabolism
Ss02g30950.1	At4g19830	80	85	63	147	142	226	9.04E-44	145	KOG0552	O	Posttranslational modification, protein turnover, chaperones
Ss04g17580.1	At5g62020	43.682	277	1	243	1	276	9.34E-67	211	KOG0627	K	Transcription
Ss04g17560.1	At5g24320	41.161	741	39	718	13	692	9.80E-163	486	KOG0283	S	Function unknown
Ss04g17540.1	At4g38600	81.25	96	5	100	662	757	1.55E-47	162	KOG0170	O	Posttranslational modification, protein turnover, chaperones
Ss04g17520.1	At1g01230	85.161	155	1	155	1	155	1.94E-97	279	KOG3319	S	Function unknown
Ss04g17510.1	At5g16860	33.465	759	73	815	61	747	5.51E-133	418	KOG4197	R	General function prediction only
Ss05g17380.1	At1g67280	72.881	354	1	354	1	350	0	532	KOG2943	G	Carbohydrate transport and metabolism
Ss05g17430.1	AtCh073	77.228	101	2	102	54	153	6.24E-49	163	KOG4845	C	Energy production and conversion
Ss05g17440.1	At5g11560	61.514	951	36	986	10	955	0	1238	KOG2103	S	Function unknown
Ss01g25150.1	At4g33000	61.742	264	48	311	18	256	2.97E-108	316	KOG0034	T	Signal transduction mechanisms
Ss01g25130.1	At3g47590	59.843	254	120	373	52	303	6.31E-110	325	KOG4667	I	Lipid transport and metabolism
Ss01g25120.1	YOR048c	42.857	35	1	35	1	35	8.20E-07	45.1	KOG2044	AL	RNA processing and modification; Replication, recombination and repair
Ss01g25110.1	At3g13750	68.106	834	7	828	13	846	0	1214	KOG0496	G	Carbohydrate transport and metabolism
Ss01g25100.1	At1g12840	74.468	376	3	377	2	369	0	586	KOG2909	C	Energy production and conversion
Ss01g25090.1	At2g19590	54.027	298	1	295	9	304	1.01E-113	332	KOG0143	QR	Secondary metabolites biosynthesis, transport and catabolism; General function prediction only
Ss09g05720.1	At1g17350_2	70.968	62	23	84	147	208	6.97E-26	96.3	KOG2435	S	Function unknown
Ss09g05680.1	At1g10400	44	150	1	144	6	153	4.99E-30	114	KOG1192	CG	Energy production and conversion; Carbohydrate transport and metabolism
Ss09g05700.1	At2g16890	42.526	475	15	479	9	469	2.22E-119	359	KOG1192	CG	Energy production and conversion; Carbohydrate transport and metabolism
Ss09g05710.1	At2g16890	41.096	146	4	143	1	142	5.21E-27	106	KOG1192	CG	Energy production and conversion; Carbohydrate transport and metabolism
Ss09g05640.1	At1g23870	64.014	867	1	860	1	867	0	1201	KOG1050	G	Carbohydrate transport and metabolism
Ss09g05660.1	At1g60190	37.518	693	11	688	10	685	1.75E-138	423	KOG0167	S	Function unknown
Ss09g05670.1	At2g38410	71.667	60	6	65	101	160	1.08E-27	108	KOG1087	U	Intracellular trafficking, secretion, and vesicular transport
Ss03g07650.1	At5g10940	58.762	759	11	760	6	754	0	892	KOG1310	R	General function prediction only
Ss03g07580.1	At2g22540	58.58	169	5	170	3	171	5.81E-64	199	KOG0014	K	Transcription
Ss03g07600.1	At3g53120	67.879	165	67	231	51	215	6.59E-74	224	KOG3270	S	Function unknown
Ss03g07610.1	At3g54400	47.857	420	17	429	28	424	7.80E-122	362	KOG1339	O	Posttranslational modification, protein turnover, chaperones
Ss03g07630.1	At5g50460	69.697	66	1	62	1	66	4.95E-24	86.7	KOG3498	U	Intracellular trafficking, secretion, and vesicular transport
Ss11g02330.1	At2g29530	73.333	75	3	77	2	76	2.49E-38	124	KOG3480	U	Intracellular trafficking, secretion, and vesicular transport
Ss11g02320.1	At5g41760	77.815	302	18	317	3	304	6.97E-170	476	KOG2234	G	Carbohydrate transport and metabolism
Ss11g02350.1	At3g05030	73.295	528	7	530	12	539	0	789	KOG1965	P	Inorganic ion transport and metabolism
Ss11g02340.1	At5g27950	45.902	610	21	594	42	639	1.34E-161	477	KOG0239	Z	Cytoskeleton
Ss11g02390.1	At3g07040	27.243	301	1	292	603	881	1.04E-10	64.3	KOG4658	T	Signal transduction mechanisms
Ss11g02380.1	At3g07040	22.853	722	46	688	195	881	8.56E-27	118	KOG4658	T	Signal transduction mechanisms
Ss08g12950.1	At5g60040	52.108	332	1	323	1012	1328	1.42E-97	317	KOG0261	K	Transcription
Ss08g12940.1	At5g60040	56.471	935	16	870	6	906	0	1045	KOG0261	K	Transcription
Ss08g12930.1	At5g57670	51.414	389	5	383	7	387	1.23E-139	405	KOG1187	T	Signal transduction mechanisms
Ss08g12920.1	At2g24790	38.528	231	14	205	51	278	7.81E-32	119	KOG1601	K	Transcription
Ss08g12880.1	At1g10630	60.894	179	1	179	1	179	1.20E-81	241	KOG0070	U	Intracellular trafficking, secretion, and vesicular transport
Ss01g16900.1	At5g11770	77.982	218	1	199	1	218	8.99E-118	334	KOG1687	C	Energy production and conversion
Ss08g08420.1	At1g74680	63.683	391	98	484	63	453	0	536	KOG1021	MWG	Cell wall/membrane/envelope biogenesis; Extracellular structures; Carbohydrate transport and metabolism
Ss08g08370.1	Hs14150015	33.333	246	3	248	4	236	1.86E-37	132	KOG3077	S	Function unknown
Ss01g16880.1	At1g73010	56.786	280	4	273	14	293	2.03E-112	327	KOG3120	R	General function prediction only
Ss06g16390.1	AtMi039	77.632	76	1	66	123	198	2.74E-32	115	KOG2870	C	Energy production and conversion
Ss04g01840.1	At2g15270	64.407	118	18	120	11	128	2.53E-36	126	KOG4055	S	Function unknown
Ss04g01810.1	At1g62860	29.792	480	203	681	31	502	1.63E-78	262	KOG4197	R	General function prediction only
Ss04g01800.1	At3g05740	64.151	53	2	54	258	310	4.03E-13	66.2	KOG0351	L	Replication, recombination and repair
Ss04g01820.1	At4g26810	58.947	95	5	99	7	100	4.02E-36	119	KOG1946	K	Transcription
Ss04g01770.1	At1g60730	72.254	346	1	345	1	341	2.70E-180	504	KOG1575	C	Energy production and conversion
Ss04g01760.1	At3g16520	48.649	37	1	37	117	153	1.38E-06	43.9	KOG1192	CG	Energy production and conversion; Carbohydrate transport and metabolism
Ss04g01790.1	At3g08980	52.469	162	1	160	1	154	1.45E-55	173	KOG1568	UO	Intracellular trafficking, secretion, and vesicular transport; Posttranslational modification, protein turnover, chaperones
Ss07g20950.1	At4g39460	77.049	244	6	249	44	287	1.93E-136	390	KOG0768	C	Energy production and conversion
Ss07g20960.1	At5g37370	64.5	200	2	178	14	209	8.29E-82	248	KOG2888	R	General function prediction only
Ss04g02250.1	At5g59530	49.727	366	6	360	2	364	2.55E-130	378	KOG0143	QR	Secondary metabolites biosynthesis, transport and catabolism; General function prediction only
Ss04g02230.1	At2g16430	64.143	449	10	455	13	461	0	605	KOG1378	G	Carbohydrate transport and metabolism
